Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
345,86,54,8937
346,83,53,8969
347,87,53,8974
348,94,52,8970
349,94,53,8975
350,92,52,8980
351,91,50,8973
352,95,47,8978
353,99,46,8956
354,103,45,8946
355,101,44,8950
356,102,43,8933
357,101,39,8907
358,105,39,8898
359,109,38,8879
360,105,36,8869
361,106,36,8863
362,107,37,8834
363,113,37,8799
364,112,37,8756
365,109,35,8729
366,106,33,8676
367,105,32,8666
368,107,33,8644
369,111,33,8633
370,106,33,8630
371,109,33,8625
372,104,31,8620
373,108,31,8624
374,112,32,8626
375,115,32,8632
376,116,32,8621
377,109,31,8610
378,112,31,8625
379,121,31,8635
380,116,29,8618
381,120,29,8620
382,120,29,8637
383,117,30,8643
384,119,30,8631
385,120,30,8635
386,119,31,8630
387,119,32,8643
388,118,32,8655
389,118,33,8673
390,116,33,8686
391,122,33,8689
392,124,34,8697
393,127,33,8695
394,129,33,8695
395,136,34,8691
396,137,35,8671
397,138,35,8668
398,138,35,8652
399,143,35,8647
400,148,36,8648
401,151,37,8618
402,154,39,8600
403,155,39,8571
404,158,38,8570
405,156,39,8551
406,154,41,8529
407,157,44,8511
408,154,44,8499
409,150,44,8490
410,153,43,8469
411,158,43,8459
412,163,44,8408
413,170,43,8372
414,169,42,8331
415,172,42,8316
416,180,43,8268
417,184,44,8240
418,187,44,8203
419,185,45,8153
420,182,44,8124
421,186,45,8094
422,191,47,8048
423,194,47,8007
424,191,46,7985
425,188,48,7942
426,193,47,7907
427,197,49,7859
428,205,49,7807
429,205,50,7755
430,205,49,7710
431,209,48,7669
432,222,48,7625
433,226,49,7583
434,226,50,7552
435,229,50,7533
436,231,51,7517
437,240,52,7501
438,233,52,7465
439,231,53,7426
440,230,54,7377
441,226,55,7362
442,232,57,7343
443,230,58,7296
444,230,59,7280
445,233,58,7259
446,235,59,7222
447,242,59,7170
448,243,60,7137
449,245,60,7125
450,234,63,7134
451,225,64,7128
452,217,64,7163
453,206,63,7181
454,203,64,7213
455,196,64,7225
456,193,65,7230
457,189,68,7236
458,172,70,7236
459,171,70,7255
460,162,71,7264
461,155,70,7297
462,149,73,7322
463,142,73,7344
464,133,74,7363
465,119,75,7419
466,104,77,7436
467,94,77,7462
468,94,78,7501
469,91,78,7515
470,87,79,7542
471,86,77,7568
472,88,77,7593
473,88,75,7618
474,84,73,7640
475,82,72,7660
476,80,72,7702
477,80,70,7740
478,79,70,7762
479,75,69,7799
480,75,69,7819
481,72,66,7850
482,64,65,7895
483,63,65,7925
484,64,65,7968
485,59,65,8012
486,57,64,8062
487,54,61,8096
488,51,61,8126
489,51,61,8185
490,47,60,8237
491,45,60,8294
492,47,60,8344
493,45,60,8382
494,49,60,8440
495,48,59,8469
496,50,56,8524
497,52,50,8579
498,52,51,8633
499,53,53,8661
500,53,53,8693
501,57,51,8717
502,56,51,8757
